url,detected,trigger_url,firewall,manufacturer
https://focusconcursos.com.br/,True,https://focusconcursos.com.br/?mvdsdwhj=%3Cscript%3Ealert%28%22XSS%22%29%3B%3C%2Fscript%3E&dsjunnwu=UNION+SELECT+ALL+FROM+information_schema+AND+%22+or+SLEEP%285%29+or+%22&ezghrbxl=..%2F..%2Fetc%2Fpasswd,Cloudfront,Amazon
https://focusconcursos.com.br/,True,https://focusconcursos.com.br/?erxbfwmh=%3Cscript%3Ealert%28%22XSS%22%29%3B%3C%2Fscript%3E,Generic,Unknown
https://www.focusconcursos.com.br/,True,https://www.focusconcursos.com.br/?vfoamdba=%3Cscript%3Ealert%28%22XSS%22%29%3B%3C%2Fscript%3E&oxnanhor=UNION+SELECT+ALL+FROM+information_schema+AND+%22+or+SLEEP%285%29+or+%22&xpxzsqlk=..%2F..%2Fetc%2Fpasswd,Cloudfront,Amazon
https://www.focusconcursos.com.br/,True,True,Generic,Unknown
https://www3.focusconcursos.com.br/,,False,None,None
https://admin.focusconcursos.com.br/,,False,None,None
https://lms.focusconcursos.com.br/,,False,None,None
https://crm.focusconcursos.com.br/,True,https://crm.focusconcursos.com.br/?ztnqafxu=%3Cscript%3Ealert%28%22XSS%22%29%3B%3C%2Fscript%3E&ylaxvnbz=UNION+SELECT+ALL+FROM+information_schema+AND+%22+or+SLEEP%285%29+or+%22&gmahvnfz=..%2F..%2Fetc%2Fpasswd,AWS Elastic Load Balancer,Amazon
https://crm.focusconcursos.com.br/,,False,None,None
https://payment.focusconcursos.com.br/,,False,None,None
https://integration.focusconcursos.com.br/,,False,None,None
https://mobile.focusconcursos.com.br/,,False,None,None
https://apilms.focusconcursos.com.br/,,False,None,None
https://vc.focusconcursos.com.br/,True,https://focusconcursos.com.br/produtos,Cloudfront,Amazon
https://vc.focusconcursos.com.br/,True,True,Generic,Unknown
https://noticias.focusconcursos.com.br/,,False,None,None
https://blog.focusconcursos.com.br/,,False,None,None
https://pxa.focusconcursos.com.br/,,False,None,None
https://apex.grupofocus.com.br/,,False,None,None
https://focus.grupofocus.com.br/,,False,None,None
https://media.grupofocus.com.br/,,False,None,None
https://static.grupofocus.com.br/,,False,None,None
https://prod.grupofocus.com.br/,,False,None,None
https://s3.grupofocus.com.br/,,False,None,None
https://ead.grupofocus.com.br/,,False,None,None
