559f16b5-f27a-47d2-ac07-1986ed8f9c96	Prefeitura de Agudo
b44d27f1-2682-4b17-b369-5bbe7a48d592	Legislação de  Redentora - RS
454e1f4b-3a83-43bb-a779-e5bdf56e1016	Prefeitura de Relvado
cc85957a-ad5f-408c-ba25-72edb2225050	Oficial, Auxiliar e Assistente Administrativo
78ec214a-16d3-4fcd-bf73-038644a34e18	Prefeitura de Cachoeira do Sul
60596898-78ff-49e9-9e52-5c58e6709ff3	Legislação Toropi
bf3b6be2-6fc0-4c6c-9247-512060ec33cb	Prefeitura de Toropi
fe05075d-1773-43c7-a041-b27da4a7559a	Prefeitura de Redentora - Professores - RS
1b2d7cff-f6ea-4a86-b5e1-fac6320abf9d	Prefeitura de Redentora - RS
e9047178-43f3-4913-bd27-0bd31dcd8ac8	Tapera - Fundamentos da Educação
1031f84a-d99d-47a7-b059-1c36914161ec	Prefeitura de Tapera - Professores - RS
4f21caf8-ac64-44f7-8eea-1bc21ca3e525	Prefeitura de Tapera - RS
795f84f3-e5c7-4360-8a58-8197f3dc3e14	Santa Rosa - Professores
22c4d911-db2a-4c3d-ab62-ca1d5cc23a81	Legalle - Informática
cd6b027b-7a28-4aba-b35f-3b89d1a70055	Legalle - Matemática
f6b40baf-2d11-4331-b053-129c46510cb8	Legalle - Fundamentos da Educação
b2221054-692c-48b2-b031-e26987a646bd	Legalle - Língua Portuguesa
7f17b993-012a-49af-86c8-db25c10eca98	Legislação - Silveira Martins
db79ef96-9e8d-46e2-aab6-11daf87cedc6	Prefeitura de Ijuí
203b86fd-9fa6-403a-a626-45bcc4e4af8d	Silveira Martins - Professores
9bd7944c-c1fd-4293-80e7-f323aed22401	Prefeitura de Silveira Martins
36d4824b-3b53-491b-b55f-6b7761472165	Curso Legalle
fa38c5d6-e1f8-4003-8243-7cf31713fe80	Legislação - Fundatec
6726be24-ceb1-4d93-9f3e-2c96fc9cf47c	Língua Portuguesa - Fundatec
307a3642-6628-4468-b5d8-97f83acbb0a9	Raciocínio Lógico - Fundatec
8d45076c-fbed-4df0-80b2-2114eb0b3c5a	Matemática - Fundatec
b76ba6c7-2aee-4843-8448-3c18852e6756	Curso Fundatec
7ecfe64b-98d8-4f92-9647-53ea9bc660e0	Prefeitura de Novo Hamburgo
d07e91d3-879c-4e1d-8fd3-b6e1f1cd96fa	Prefeitura de Santo Ângelo
7877cf13-2b3b-48d0-82ec-73a96b1e0c6e	Brigada Militar - RS - Temporário
